source,target
1501204,1508100
1501253,1502764
1501253,1505437
1501253,1505551
1501253,1506138
1501253,1506161
1501253,1508407
1501303,1501402
1501303,1504703
1501303,1505700
1501402,1502004
1501402,1504422
1501402,1505700
1501402,1506351
1501402,1507003
1501451,1504752
1501451,1505650
1501451,1506195
1501451,1506807
1501501,1501907
1501501,1504422
1501501,1506351
1501501,1506500
1501576,1504208
1501576,1506187
1501576,1507508
1501576,1707405
1501576,2111532
1501600,1502202
1501600,1505007
1501600,1505403
1501600,1505601
1501600,1506609
1501600,1507607
1501600,1508035
1501709,1506559
1501709,1508035
1501709,1508308
1501725,1504455
1501725,1505908
1501725,1508159
1501725,1508357
1501758,1505494
1501758,1507151
1501758,1507458
1501758,1507508
1501758,1702208
1501782,1503093
1501782,1503457
1501782,1504703
1501782,1505064
1501782,1508100
1501808,1502806
1501808,1503101
1501808,1504505
1501808,1507706
1501907,1502756
1501907,1503408
1501907,1504422
1501907,1506500
1501907,1507201
1501907,1507607
1501956,1504950
1501956,1508308
1501956,2101970
1501956,2103174
1501956,2105658
1502004,1502509
1502004,1502608
1502004,1505700
1502004,1506302
1502004,1506401
1502004,1507003
1502004,1507904
1502103,1503309
1502103,1504000
1502103,1504604
1502103,1505205
1502152,1502772
1502152,1505536
1502152,1507755
1502202,1505601
1502202,1506104
1502202,1506112
1502202,1508035
1502301,1503077
1502301,1503457
1502301,1503507
1502301,1504059
1502301,1504950
1502301,1505403
1502301,1506559
1502400,1503408
1502400,1506500
1502400,1506609
1502400,1507003
1502400,1507102
1502400,1507409
1502400,1507607
1502400,1507961
1502400,1508209
1502509,1506401
1502509,1507904
1502509,1600253
1502509,1600303
1502608,1506302
1502608,1507003
1502608,1508209
1502707,1503044
1502707,1506138
1502707,1506583
1502707,1701903
1502707,1702307
1502707,1703206
1502707,1706001
1502707,1711803
1502707,1716307
1502756,1507201
1502756,1508001
1502764,1505437
1502764,1506138
1502764,1506583
1502764,1506708
1502764,1507300
1502772,1502954
1502772,1504208
1502772,1505536
1502772,1505635
1502772,1507755
1502772,1508407
1502806,1504000
1502806,1505205
1502806,1507706
1502855,1505106
1502855,1506807
1502905,1504406
1502905,1507102
1502905,1507466
1502905,1507961
1502939,1503093
1502939,1505502
1502939,1506187
1502939,1508126
1502939,2100055
1502939,2105427
1502954,1504208
1502954,1505635
1502954,1507458
1502954,1508407
1503002,1505304
1503002,1507979
1503044,1505551
1503044,1506138
1503044,1506161
1503044,1702109
1503044,1716307
1503044,1718865
1503077,1504950
1503077,1506559
1503093,1503457
1503093,1503804
1503093,1505064
1503093,1505502
1503093,1506187
1503093,1508100
1503101,1504505
1503101,1505908
1503101,1600402
1503101,1600808
1503200,1504307
1503200,1504406
1503200,1505007
1503200,1506609
1503200,1506906
1503200,1507409
1503309,1504000
1503309,1504604
1503309,1504703
1503309,1504901
1503408,1506500
1503408,1507607
1503457,1504703
1503457,1504950
1503457,1505502
1503457,1507953
1503457,1508001
1503507,1504059
1503507,1505403
1503507,1507201
1503507,1507607
1503606,1503754
1503606,1505031
1503606,1506195
1503606,1508050
1503705,1503804
1503705,1504208
1503705,1504976
1503705,1505064
1503754,1505031
1503754,5100250
1503754,5100805
1503754,5106299
1503804,1504976
1503804,1505064
1503804,1506187
1503903,1505106
1503903,1505304
1503903,1506807
1503903,1507979
1504000,1504901
1504000,1505205
1504000,1507706
1504059,1507201
1504109,1504307
1504109,1504406
1504208,1504976
1504208,1505064
1504208,1505536
1504208,1506187
1504208,1507151
1504208,1507300
1504208,1507458
1504208,1507508
1504307,1504406
1504307,1506203
1504307,1506906
1504307,1507474
1504406,1507409
1504406,1507961
1504455,1505908
1504455,1506005
1504455,1508159
1504505,1505809
1504505,1505908
1504604,1504703
1504604,1505205
1504703,1507953
1504752,1505650
1504752,1506807
1504752,1508159
1504802,1506005
1504802,1506807
1504901,1505700
1504901,1507706
1504950,1505502
1504950,1506559
1504950,1508308
1504950,2103174
1504976,1506187
1505007,1505601
1505007,1506609
1505007,1506906
1505031,5100250
1505031,5104104
1505031,5106265
1505064,1505486
1505064,1507300
1505064,1508100
1505106,1505304
1505106,1506807
1505304,1507979
1505403,1506559
1505403,1507607
1505403,1508035
1505437,1505536
1505437,1507300
1505437,1508084
1505486,1505809
1505486,1508100
1505494,1507458
1505494,1701002
1505494,1702208
1505502,1508126
1505502,2103174
1505536,1507300
1505551,1506138
1505551,1506161
1505601,1506104
1505601,1506906
1505635,1507458
1505635,1508407
1505635,1701309
1505635,1702158
1505635,1713957
1505635,1718865
1505635,1722107
1505650,1506195
1505650,1508159
1505700,1506401
1505809,1505908
1505809,1507805
1505908,1506005
1505908,1507805
1505908,1508357
1506005,1506807
1506005,1508159
1506104,1506112
1506104,1506906
1506104,1507474
1506112,1507474
1506112,1508035
1506138,1506583
1506161,1508407
1506161,1718865
1506187,2100055
1506187,2103257
1506187,2112852
1506203,1507474
1506302,1507904
1506351,1506500
1506351,1507003
1506500,1507003
1506559,1508035
1506559,1508308
1506583,1506708
1506583,1701903
1506583,1703909
1506609,1507409
1506609,1507607
1506708,1507300
1506708,1703909
1506708,1717503
1506708,5107776
1506708,5108600
1506807,1508159
1506906,1507474
1507003,1508209
1507102,1507466
1507102,1507961
1507102,1508209
1507151,1507458
1507151,1507508
1507201,1507607
1507201,1508001
1507300,1507805
1507300,1508084
1507300,5106422
1507300,5107743
1507300,5108600
1507409,1507961
1507458,1701002
1507458,1722107
1507466,1507961
1507508,1702208
1507508,1707405
1507508,2111532
1507755,1508407
1507805,1508357
1507953,1508001
1507961,1508209
1508126,2103174
1508126,2105427
1508308,2101970
1508308,2102903
1508407,1718865
1600055,1600154
1600055,1600204
1600055,1600238
1600055,1600501
1600055,1600550
1600105,1600204
1600105,1600212
1600105,1600303
1600105,1600550
1600105,1600709
1600154,1600238
1600154,1600279
1600154,1600402
1600154,1600501
1600154,1600535
1600204,1600238
1600204,1600501
1600204,1600550
1600212,1600238
1600212,1600303
1600212,1600709
1600238,1600303
1600238,1600535
1600238,1600550
1600238,1600709
1600253,1600303
1600279,1600402
1600279,1600501
1600279,1600808
1600303,1600535
1600303,1600600
1600402,1600535
1600402,1600600
1600402,1600808
1600535,1600600
1600550,1600709
1700251,1701903
1700251,1703107
1700251,1703909
1700251,1707108
1700251,1707207
1700301,1713809
1700301,1714302
1700301,1720002
1700301,1721208
1700301,2104057
1700301,2109007
1700350,1703701
1700350,1706258
1700350,1707306
1700350,1709500
1700350,1716604
1700400,1705607
1700400,1707009
1700400,1712702
1700400,1714203
1700400,1717008
1700400,1717909
1700400,1718006
1700400,1718659
1700707,1707652
1700707,1716604
1700707,1720853
1700707,1720978
1701002,1701051
1701002,1702208
1701002,1703826
1701002,1712454
1701002,1714302
1701002,1718550
1701002,1720101
1701002,1722107
1701051,1706506
1701051,1713809
1701051,1714302
1701051,1718550
1701051,1720002
1701101,1712009
1701101,1715101
1701101,1718758
1701101,1721000
1701101,1721109
1701309,1702109
1701309,1702158
1701309,1703883
1701309,1713957
1701903,1703909
1701903,1706001
1701903,1707207
1701903,1708304
1702000,1707652
1702000,1718840
1702000,1720978
1702000,5215256
1702000,5218003
1702000,5220207
1702109,1703008
1702109,1703883
1702109,1707702
1702109,1713957
1702109,1714880
1702109,1715705
1702109,1716307
1702109,1717206
1702109,1718865
1702109,1722081
1702158,1703883
1702158,1717206
1702158,1722107
1702208,1702554
1702208,1702901
1702208,1703800
1702208,1707405
1702208,1720101
1702208,1720309
1702307,1703057
1702307,1703206
1702307,1716307
1702406,1702703
1702406,1705557
1702406,1705607
1702406,1712157
1702406,1715150
1702406,1716208
1702406,1717800
1702406,1720903
1702406,1720937
1702406,5204904
1702406,5205307
1702406,5213509
1702554,1702901
1702554,1703800
1702554,1703891
1702554,1718303
1702554,1718808
1702554,1720804
1702703,1712157
1702703,1720903
1702703,2919553
1702703,2928901
1702901,1710706
1702901,1718303
1702901,1720101
1702901,1720804
1703008,1706506
1703008,1707702
1703008,1722081
1703008,2102804
1703057,1703206
1703057,1703602
1703057,1705508
1703057,1711100
1703057,1714880
1703057,1716307
1703057,1716653
1703057,1718402
1703073,1707702
1703073,1709005
1703073,2102804
1703107,1707108
1703107,1707207
1703107,1713205
1703107,1713700
1703107,1716109
1703206,1711803
1703206,1716653
1703305,1704105
1703305,1716505
1703305,1718881
1703305,1721257
1703602,1705508
1703602,1715705
1703602,1718402
1703602,1721307
1703701,1706258
1703701,1707553
1703701,1709807
1703701,1716604
1703701,1718204
1703701,1718899
1703701,1718907
1703701,1720499
1703800,1703891
1703800,1720309
1703800,2112852
1703826,1712454
1703826,1712801
1703826,1720101
1703842,1709005
1703842,1718501
1703842,2101400
1703842,2102804
1703842,2109502
1703867,1707306
1703867,1707652
1703867,1708205
1703867,1709500
1703883,1717206
1703891,1718808
1703891,2112852
1703909,1707108
1703909,1712504
1703909,1717503
1704105,1710508
1704105,1712405
1704105,1716505
1704105,1718501
1704105,1718758
1704105,1718881
1704600,1707108
1704600,1712504
1704600,1713700
1704600,1716109
1704600,1717503
1705102,1714203
1705102,1717008
1705102,1718907
1705102,1720499
1705508,1714880
1705508,1715705
1705557,1712157
1705557,1715150
1705557,5204904
1705607,1707009
1705607,1714203
1705607,1716208
1705607,1720937
1706001,1708304
1706001,1711803
1706001,1716653
1706100,1707553
1706100,1711902
1706100,1715002
1706100,1715507
1706100,1717503
1706100,1718899
1706258,1707306
1706258,1718899
1706506,1713809
1706506,1717206
1706506,1718550
1706506,1720002
1706506,1722081
1706506,2102804
1706506,2104057
1707009,1715259
1707009,1717800
1707009,1718006
1707009,1718659
1707009,1720937
1707009,2903201
1707009,2911105
1707009,2926202
1707108,1707207
1707108,1712504
1707108,1713700
1707207,1708304
1707207,1713205
1707207,1713304
1707306,1708205
1707306,1709500
1707306,1711902
1707306,1718899
1707405,1720309
1707405,2111532
1707553,1715507
1707553,1718204
1707553,1718899
1707652,1708205
1707652,1709500
1707652,1718840
1707652,1720853
1707652,1720978
1707702,1709005
1707702,1715705
1707702,2102804
1708205,1711902
1708205,1718840
1708205,5103106
1708205,5106315
1708205,5107859
1708205,5220207
1708254,1709302
1708254,1713304
1708254,1716703
1708254,1718709
1708254,1721257
1708304,1713304
1708304,1716653
1708304,1716703
1709005,1710508
1709005,1710904
1709005,1715705
1709005,1718501
1709005,2102804
1709302,1710904
1709302,1711100
1709302,1716703
1709302,1718402
1709302,1718881
1709302,1721257
1709302,1721307
1709500,1716604
1709500,1720853
1709807,1718204
1709807,1718907
1709807,1720655
1710508,1710904
1710508,1718501
1710508,1718881
1710706,1712801
1710706,1720101
1710706,1720200
1710706,1720804
