code_muni,name,state,lat,lon
3111101,Campina Verde,MG,-19.484713499999998,-49.768652796503034
5204706,Campinorte,GO,-14.011900749999999,-48.86385181009245
2701407,Campo Alegre,AL,-9.8195214,-36.28475597504884
4203303,Campo Alegre,SC,-26.126314,-49.249769135792945
5204805,Campo Alegre de Goiás,GO,-17.533982950000002,-47.750535719642855
2905909,Campo Alegre de Lourdes,BA,-9.544739049999999,-43.1744422551005
2202117,Campo Alegre do Fidalgo,PI,-8.235042150000002,-41.850819487500715
3111150,Campo Azul,MG,-16.516493999999998,-44.765193779891305
3111200,Campo Belo,MG,-20.9424515,-45.25659619032145
4203402,Campo Belo do Sul,SC,-27.822434700000002,-50.739743045117706
4303905,Campo Bom,RS,-29.66536595,-51.04916036243989
4104055,Campo Bonito,PR,-24.90228915,-53.027508966454235
2801009,Campo do Brito,SE,-10.781215899999998,-37.491515040838024
3111309,Campo do Meio,MG,-21.106676,-45.83148511440678
4104105,Campo do Tenente,PR,-25.979904949999998,-49.66665216649788
4203501,Campo Erê,SC,-26.461743650000003,-53.14308521766463
3111408,Campo Florido,MG,-19.714363,-48.651548476456014
2906006,Campo Formoso,BA,-10.260051149999999,-40.712920272603306
2701506,Campo Grande,AL,-9.964119199999999,-36.74354103381053
2401305,Campo Grande,RN,-5.88502435,-37.34607089342532
5002704,Campo Grande,MS,-20.8755218,-54.34731734083399
2202133,Campo Grande do Piauí,PI,-7.18257615,-41.0685585129024
4104204,Campo Largo,PR,-25.26635135,-49.69300620758773
2202174,Campo Largo do Piauí,PI,-3.8684715,-42.57820779901118
5204854,Campo Limpo de Goiás,GO,-16.28591475,-49.10911218174418
3509601,Campo Limpo Paulista,SP,-23.210448149999998,-46.75753542200822
4104253,Campo Magro,PR,-25.29749405,-49.45392474286656
2202208,Campo Maior,PI,-4.8595544,-42.220252450421775
4104303,Campo Mourão,PR,-24.1260792,-52.36327627845339
4304002,Campo Novo,RS,-27.670284199999998,-53.820876408050076
